"volume","part_code","section_code","table_id","unit_type","table_title","table_content","content_part","content_parts_total","called_in","clause_reference","source","context","clause_count","first_clause_id","last_clause_id","archived","state_territory","source_file","ncc_version"
"Vol3","A","A","Table S1C2e","table","Table S1C2e","For the building, where Fire protection; and 60/60/60; and 90/90/90; and 120/120/120; and 180/180/180 apply, 240/240/240 must be provided or applied in accordance with Clause S1C2. For the building, where Concrete cast in-situ - loadbearing; and 25; and 30; and 40; and 55 apply, 75 must be provided or applied in accordance with Clause S1C2. For the building, where Concrete cast in-situ - non-loadbearing unplastered; and 25; and 30; and 40; and 50 apply, 75 must be provided or applied in accordance with Clause S1C2. For the building, where Concrete cast in-situ - non-loadbearing plastered 13 mm; and 25; and 25; and 30; and 40 apply, 50 must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum cast in-situ; and -; and -; and -; and - apply, 50 must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster-sprayed to contour; and 20; and 25; and 35; and 50 apply, 55 must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2_6","table","Table S1C2_6","For the building, where Fire protection; and 60/60/60; and 90/90/90; and 120/120/120; and 180/180/180 apply, 240/240/240 must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster-sprayed on metal lath; and 20; and 20; and 25; and 35 apply, 45 must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2f","table","Table S1C2f","For the building, where Fire protection; and 60/60/60; and 90/90/90; and 120/120/1 20; and 180/180/1 80 apply, 240/240/2 40 must be provided or applied in accordance with Clause S1C2. For the building, where Solid calcium-silicate masonry; and 50; and 50; and 50; and 50 apply, 65 must be provided or applied in accordance with Clause S1C2. For the building, where Solid clay masonry; and 50; and 50; and 50; and 65 apply, 90 must be provided or applied in accordance with Clause S1C2. For the building, where Solid concrete masonry; and 50; and 50; and 50; and 65 apply, 90 must be provided or applied in accordance with Clause S1C2. For the building, where Solid gypsum blocks; and 50; and 50; and 50; and 50 apply, 65 must be provided or applied in accordance with Clause S1C2. For the building, where Hollow terracotta blocks - plastered 13 mm; and 50; and 50; and 50; and 65 apply, 90 must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2g","table","Table S1C2g","For the building, where Fire protection; and 60/60/60; and 90/90/90; and 120/120/1 20; and 180/180/1 80 apply, 240/240/2 40 must be provided or applied in accordance with Clause S1C2. For the building, where Solid calcium-silicate masonry; and 50; and 50; and 50; and - apply, - must be provided or applied in accordance with Clause S1C2. For the building, where Solid clay masonry; and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Clause S1C2. For the building, where Solid concrete masonry; and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Clause S1C2. For the building, where Solid gypsum blocks; and 50; and 50; and 50; and - apply, - must be provided or applied in accordance with Clause S1C2. For the building, where Hollow terracotta blocks - plastered 13 mm; and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2h","table","Table S1C2h","For the building, where Fire protection; and 60/-/-; and 90/-/-; and 120/-/-; and 180/-/- apply, 240/-/- must be provided or applied in accordance with Clause S1C2. For the building, where Concrete cast in-situ - loadbearing; and 25; and 40; and 45; and 65 apply, 90 must be provided or applied in accordance with Clause S1C2. For the building, where Concrete cast in-situ - non-loadbearing unplastered; and 35; and 30; and 40; and 50 apply, 65 must be provided or applied in accordance with Clause S1C2. For the building, where Concrete cast in-situ - non-loadbearing plastered 13 mm; and 25; and 25; and 30; and 40 apply, 50 must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum cast in-situ; and -; and -; and -; and - apply, 50 must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2_10","table","Table S1C2_10","For the building, where Fire protection; and 60/-/-; and 90/-/-; and 120/-/-; and 180/-/- apply, 240/-/- must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster - sprayed to contour; and 25; and 30; and 40; and 55 apply, 65 must be provided or applied in accordance with Clause S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster - sprayed on metal lath; and 20; and 20; and 30; and 40 apply, 50 must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2i","table","Table S1C2i","For the building, where Fire protection; and 60/-/-; and 90/-/-; and 120/-/-; and 180/-/- apply, 240/-/- must be provided or applied in accordance with Clause S1C2. For the building, where Solid calcium-silicate masonry; and 50; and 50; and 50; and 65 apply, 75 must be provided or applied in accordance with Clause S1C2. For the building, where Solid clay masonry; and 50; and 50; and 50; and 75 apply, 100 must be provided or applied in accordance with Clause S1C2. For the building, where Solid concrete masonry; and 50; and 50; and 50; and 75 apply, 100 must be provided or applied in accordance with Clause S1C2. For the building, where Solid gypsum blocks; and 50; and 50; and 50; and 65 apply, 75 must be provided or applied in accordance with Clause S1C2. For the building, where Hollow terracotta blocks - plastered 13 mm; and 50; and 50; and 50; and 75 apply, 100 must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2j","table","Table S1C2j","For the building, where Fire protection; and 60/-/-; and 90/-/-; and 120/-/-; and 180/-/- apply, 240/-/- must be provided or applied in accordance with Clause S1C2. For the building, where Solid calcium-silicate masonry; and 50; and 50; and 50; and - apply, - must be provided or applied in accordance with Clause S1C2. For the building, where Solid clay masonry; and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Clause S1C2. For the building, where Solid concrete masonry; and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Clause S1C2. For the building, where Solid gypsum blocks; and 50; and 50; and 50; and - apply, - must be provided or applied in accordance with Clause S1C2. For the building, where Hollow terracotta blocks - plastered 13 mm; and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2k","table","Table S1C2k","For the building, where Concrete type; and 60/-/-; and 90/-/-; and 120/-/-; and 180/-/- apply, 240/-/- must be provided or applied in accordance with Clause S1C2. For the building, where Prestressed; and See clause; and S1C2(d)(ii) apply, the relevant requirement must be met in accordance with Clause S1C2. For the building, where Reinforced; and See clause; and S1C2(d)(ii) apply, the relevant requirement must be met in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
"Vol3","A","A","Table S1C2l","table","Table S1C2l","For the building, where Fire protection; and 60/-/-; and 90/-/-; and 120/-/-; and 180/-/- apply, 240/-/- must be provided or applied in accordance with Clause S1C2. For the building, where Concrete - cast in-situ; and 25; and 30; and 40; and 50 apply, 65 must be provided or applied in accordance with Clause S1C2.",1,1,"","","NCC 2022 Vol3","",0,"","","false","","NCC2022_Volume3_Tables_ClauseStyle.txt","2022"
