"volume","part_code","section_code","table_id","unit_type","table_title","table_content","content_part","content_parts_total","called_in","clause_reference","source","context","clause_count","first_clause_id","last_clause_id","archived","state_territory","source_file","ncc_version"
"Vol1","A5","A","Table S1C2a","table","Table S1C2a","For the building, where Masonry type; and 60/60/60; and 90/90/90; and 120/120/1 20; and 180/180/1 80 apply, 240/240/2 40 must be provided or applied in accordance with Specification S1C2. For the building, where Ashlar; and -; and -; and -; and - apply, 300 must be provided or applied in accordance with Specification S1C2. For the building, where Calcium silicate; and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv) apply, See clause S1C2(d)(iv) must be provided or applied in accordance with Specification S1C2. For the building, where Concrete; and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv) apply, See clause S1C2(d)(iv) must be provided or applied in accordance with Specification S1C2. For the building, where Fired clay; and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv) apply, See clause S1C2(d)(iv) must be provided or applied in accordance with Specification S1C2.",1,1,"","","NCC 2022 Vol1","",0,"","","false","","NCC2022_Volume1_Tables_ClauseStyle.txt","2022"
"Vol1","A5","A","Table S1C2b","table","Table S1C2b","For the building, where Concrete type; and 60/60/60; and 90/90/90; and 120/120/120; and 180/180/180 apply, 240/240/240 must be provided or applied in accordance with Specification S1C2. For the building, where No fines; and -; and -; and -; and 150 apply, 300 must be provided or applied in accordance with Specification S1C2. For the building, where Prestressed; and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv) apply, See clause S1C2(d)(iv) must be provided or applied in accordance with Specification S1C2. For the building, where Reinforced; and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv); and See clause S1C2(d)(iv) apply, See clause S1C2(d)(iv) must be provided or applied in accordance with Specification S1C2. For the building, where Plain; and -; and -; and -; and 150 apply, 170 must be provided or applied in accordance with Specification S1C2.",1,1,"","","NCC 2022 Vol1","",0,"","","false","","NCC2022_Volume1_Tables_ClauseStyle.txt","2022"
"Vol1","A5","A","Table S1C2c","table","Table S1C2c","For the building, where Gypsum type; and 60/60/60; and 90/90/90; and 120/120/1 20; and 180/180/1 80 apply, 240/240/2 40 must be provided or applied in accordance with Specification S1C2. For the building, where Solid gypsum blocks; and 75; and 90; and 100; and 110 apply, 125 must be provided or applied in accordance with Specification S1C2. For the building, where Gypsum - perlite or gypsum vermiculite-plaster on metal lath and channel (non-loadbearingwalls only); and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Specification S1C2.",1,1,"","","NCC 2022 Vol1","",0,"","","false","","NCC2022_Volume1_Tables_ClauseStyle.txt","2022"
"Vol1","A5","A","Table S1C2d","table","Table S1C2d","For the building, where Column type; and 60/60/60; and 90/90/90; and 120/120/1 20; and 180/180/1 80 apply, 240/240/2 40 must be provided or applied in accordance with Specification S1C2. For the building, where Prestressed; and See clause S1C2(d)(ii); and See clause S1C2(d)(ii); and See clause S1C2(d)(ii); and See clause S1C2(d)(ii) apply, See clause S1C2(d)(ii) must be provided or applied in accordance with Specification S1C2. For the building, where Reinforced; and See clause S1C2(d)(ii); and See clause S1C2(d)(ii); and See clause S1C2(d)(ii); and See clause S1C2(d)(ii) apply, See clause S1C2(d)(ii) must be provided or applied in accordance with Specification S1C2.",1,1,"","","NCC 2022 Vol1","",0,"","","false","","NCC2022_Volume1_Tables_ClauseStyle.txt","2022"
"Vol1","A5","A","Table S1C2e","table","Table S1C2e","For the building, where Fire protection; and 60/60/60; and 90/90/90; and 120/120/120; and 180/180/180 apply, 240/240/240 must be provided or applied in accordance with Specification S1C2. For the building, where Concrete cast in-situ - loadbearing; and 25; and 30; and 40; and 55 apply, 75 must be provided or applied in accordance with Specification S1C2. For the building, where Concrete cast in-situ - non-loadbearing unplastered; and 25; and 30; and 40; and 50 apply, 75 must be provided or applied in accordance with Specification S1C2. For the building, where Concrete cast in-situ - non-loadbearing plastered 13 mm; and 25; and 25; and 30; and 40 apply, 50 must be provided or applied in accordance with Specification S1C2. For the building, where Gypsum cast in-situ; and -; and -; and -; and - apply, 50 must be provided or applied in accordance with Specification S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster-sprayed to contour; and 20; and 25; and 35; and 50 apply, 55 must be provided or applied in accordance with Specification S1C2.",1,1,"","","NCC 2022 Vol1","",0,"","","false","","NCC2022_Volume1_Tables_ClauseStyle.txt","2022"
"Vol1","A5","A","Table S1C2_6","table","Table S1C2_6","For the building, where Fire protection; and 60/60/60; and 90/90/90; and 120/120/120; and 180/180/180 apply, 240/240/240 must be provided or applied in accordance with Specification S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster-sprayed on metal lath; and 20; and 20; and 25; and 35 apply, 45 must be provided or applied in accordance with Specification S1C2.",1,1,"","","NCC 2022 Vol1","",0,"","","false","","NCC2022_Volume1_Tables_ClauseStyle.txt","2022"
"Vol1","A5","A","Table S1C2f","table","Table S1C2f","For the building, where Fire protection; and 60/60/60; and 90/90/90; and 120/120/1 20; and 180/180/1 80 apply, 240/240/2 40 must be provided or applied in accordance with Specification S1C2. For the building, where Solid calcium-silicate masonry; and 50; and 50; and 50; and 50 apply, 65 must be provided or applied in accordance with Specification S1C2. For the building, where Solid clay masonry; and 50; and 50; and 50; and 65 apply, 90 must be provided or applied in accordance with Specification S1C2. For the building, where Solid concrete masonry; and 50; and 50; and 50; and 65 apply, 90 must be provided or applied in accordance with Specification S1C2. For the building, where Solid gypsum blocks; and 50; and 50; and 50; and 50 apply, 65 must be provided or applied in accordance with Specification S1C2. For the building, where Hollow terracotta blocks - plastered 13 mm; and 50; and 50; and 50; and 65 apply, 90 must be provided or applied in accordance with Specification S1C2.",1,1,"","","NCC 2022 Vol1","",0,"","","false","","NCC2022_Volume1_Tables_ClauseStyle.txt","2022"
"Vol1","A5","A","Table S1C2g","table","Table S1C2g","For the building, where Fire protection; and 60/60/60; and 90/90/90; and 120/120/1 20; and 180/180/1 80 apply, 240/240/2 40 must be provided or applied in accordance with Specification S1C2. For the building, where Solid calcium-silicate masonry; and 50; and 50; and 50; and - apply, - must be provided or applied in accordance with Specification S1C2. For the building, where Solid clay masonry; and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Specification S1C2. For the building, where Solid concrete masonry; and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Specification S1C2. For the building, where Solid gypsum blocks; and 50; and 50; and 50; and - apply, - must be provided or applied in accordance with Specification S1C2. For the building, where Hollow terracotta blocks - plastered 13 mm; and 50; and 50; and 65; and - apply, - must be provided or applied in accordance with Specification S1C2.",1,1,"","","NCC 2022 Vol1","",0,"","","false","","NCC2022_Volume1_Tables_ClauseStyle.txt","2022"
"Vol1","A5","A","Table S1C2h","table","Table S1C2h","For the building, where Fire protection; and 60/-/-; and 90/-/-; and 120/-/-; and 180/-/- apply, 240/-/- must be provided or applied in accordance with Specification S1C2. For the building, where Concrete cast in-situ - loadbearing; and 25; and 40; and 45; and 65 apply, 90 must be provided or applied in accordance with Specification S1C2. For the building, where Concrete cast in-situ - non-loadbearing unplastered; and 35; and 30; and 40; and 50 apply, 65 must be provided or applied in accordance with Specification S1C2. For the building, where Concrete cast in-situ - non-loadbearing plastered 13 mm; and 25; and 25; and 30; and 40 apply, 50 must be provided or applied in accordance with Specification S1C2. For the building, where Gypsum cast in-situ; and -; and -; and -; and - apply, 50 must be provided or applied in accordance with Specification S1C2.",1,1,"","","NCC 2022 Vol1","",0,"","","false","","NCC2022_Volume1_Tables_ClauseStyle.txt","2022"
"Vol1","A5","A","Table S1C2_10","table","Table S1C2_10","For the building, where Fire protection; and 60/-/-; and 90/-/-; and 120/-/-; and 180/-/- apply, 240/-/- must be provided or applied in accordance with Specification S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster - sprayed to contour; and 25; and 30; and 40; and 55 apply, 65 must be provided or applied in accordance with Specification S1C2. For the building, where Gypsum - perlite or gypsum-vermiculite plaster - sprayed on metal lath; and 20; and 20; and 30; and 40 apply, 50 must be provided or applied in accordance with Specification S1C2.",1,1,"","","NCC 2022 Vol1","",0,"","","false","","NCC2022_Volume1_Tables_ClauseStyle.txt","2022"
