"doc_id","volume","state_variation","version_date","source_file","path","anchor_id","parent_anchor_id","order_in_parent","para_start","para_end","unit_label","unit_type","compliance_weight","title","text","text_html","defined_term","contains_shall","contains_must","external_refs","internal_refs","satisfies_pr_ids","related_unit_ids","asset_type","asset_id","asset_caption","asset_alt_text","page_start","page_end","bbox_json","extract_confidence","warnings","ncc_pathway","normative_status","conditionality","heading_context","raw_title","raw_text","applies_state","variation_action","affected_unit_label","affected_subparts","affects_anchor_id","table_grid_json","table_key_values","base_unit_label","affected_subclause","conditions_text","exceptions_text","requirements_list","standards_referenced","notes_quality","discipline","table_purpose","table_id","table_label","applies_to_volume","applies_to_class","volume_hierarchy","dataset_coverage","scope_conditions","formula_json","constant_value","constant_name","pathway_alternative_to","verification_method_for","section_code","part_code","indexable","ncc_anchor","full_clause_text"
"NCC V2","Volume Two","","2022","NCC2022-volume-two.docx","Volume Two","VOLUME_TWO::ROOT::SPECIFICATION::S2C26","","1","N/A","N/A","S2C26","SPECIFICATION","CONTEXT","Reinforcing for column and beam protection — gypsum-perlite or","gypsum-vermiculite plaster sprayed to contour Surface to be protected 	Reinforcement required if smaller dimension of surface exceeds (mm)	Max spacing of fixings of the mesh to surface (mm) Vertical 	450 	450 Non-vertical 	300 	300 Underside 	300 	300 Upper side of a horizontal surface	Not required 	N/A Surface to be protected 	Reinforcement required if smaller dimensions of surface exceeds (mm)	Max spacing of fixings of the mesh to surface (mm) Vertical 	Any size 	450 Non-vertical 	Any size 	300 Undersize 	Any size 	300 Upper side of a horizontal surface	Not required 	N/A","gypsum-vermiculite plaster sprayed to contour Surface to be protected 	Reinforcement required if smaller dimension of surface exceeds (mm)	Max spacing of fixings of the mesh to surface (mm) Vertical 	450 	450 Non-vertical 	300 	300 Underside 	300 	300 Upper side of a horizontal surface	Not required 	N/A Surface to be protected 	Reinforcement required if smaller dimensions of surface exceeds (mm)	Max spacing of fixings of the mesh to surface (mm) Vertical 	Any size 	450 Non-vertical 	Any size 	300 Undersize 	Any size 	300 Upper side of a horizontal surface	Not required 	N/A","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","SPECIFICATION","NORMATIVE","ALWAYS","N/A","Reinforcing for column and beam protection — gypsum-perlite or","gypsum-vermiculite plaster sprayed to contour Surface to be protected 	Reinforcement required if smaller dimension of surface exceeds (mm)	Max spacing of fixings of the mesh to surface (mm) Vertical 	450 	450 Non-vertical 	300 	300 Underside 	300 	300 Upper side of a horizontal surface	Not required 	N/A Surface to be protected 	Reinforcement required if smaller dimensions of surface exceeds (mm)	Max spacing of fixings of the mesh to surface (mm) Vertical 	Any size 	450 Non-vertical 	Any size 	300 Undersize 	Any size 	300 Upper side of a horizontal surface	Not required 	N/A","NOT_APPLICABLE","","","","","","","","","","","","","","","","Table S2C26a","Table S2C26a|Table S2C26b","Volume Two","","Volume Two","","","","","","","","","","true","TABLE","gypsum-vermiculite plaster sprayed to contour Surface to be protected 	Reinforcement required if smaller dimension of surface exceeds (mm)	Max spacing of fixings of the mesh to surface (mm) Vertical 	450 	450 Non-vertical 	300 	300 Underside 	300 	300 Upper side of a horizontal surface	Not required 	N/A Surface to be protected 	Reinforcement required if smaller dimensions of surface exceeds (mm)	Max spacing of fixings of the mesh to surface (mm) Vertical 	Any size 	450 Non-vertical 	Any size 	300 Undersize 	Any size 	300 Upper side of a horizontal surface	Not required 	N/A"
"NCC V2","Volume Two","","2022","NCC2022-volume-two.docx","Volume Two","VOLUME_TWO::ROOT::SPECIFICATION::S2C27","","2","N/A","N/A","S2C27","SPECIFICATION","CONTEXT","Measurement of thickness of column and beam protection","Specification 3 Fire hazard properties Specification 3	Fire hazard properties","Specification 3 Fire hazard properties Specification 3	Fire hazard properties","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","SPECIFICATION","NORMATIVE","ALWAYS","N/A","Measurement of thickness of column and beam protection","Specification 3 Fire hazard properties Specification 3	Fire hazard properties","NOT_APPLICABLE","","","","","","","","","","","","","","","","Table S2C27_1","Table S2C27_1","Volume Two","","Volume Two","","","","","","","","","","true","TABLE","Specification 3 Fire hazard properties Specification 3	Fire hazard properties"
"NCC V2","Volume Two","","2022","NCC2022-volume-two.docx","Volume Two","VOLUME_TWO::ROOT::SPECIFICATION::S3C1","","3","N/A","N/A","S3C1","SPECIFICATION","CONTEXT","Scope","Scope","Scope","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","SPECIFICATION","NORMATIVE","ALWAYS","N/A","Scope","Scope","NOT_APPLICABLE","","","","","","","","","","","","","","","","Table S3C1_1","Table S3C1_1","Volume Two","","Volume Two","","","","","","","","","","true","TABLE","Assemblies"
"NCC V2","Volume Two","","2022","NCC2022-volume-two.docx","Volume Two","VOLUME_TWO::ROOT::SPECIFICATION::S3C2","","4","N/A","N/A","S3C2","SPECIFICATION","CONTEXT","General requirement","General requirement","General requirement","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","SPECIFICATION","NORMATIVE","ALWAYS","N/A","General requirement","General requirement","NOT_APPLICABLE","","","","","","","","","","","","","","","","","","Volume Two","","Volume Two","","","","","","","","","","true","","General requirement"
"NCC V2","Volume Two","","2022","NCC2022-volume-two.docx","Volume Two","VOLUME_TWO::ROOT::SPECIFICATION::S3C3","","5","N/A","N/A","S3C3","SPECIFICATION","CONTEXT","Form of test","Form of test","Form of test","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","SPECIFICATION","NORMATIVE","ALWAYS","N/A","Form of test","Form of test","NOT_APPLICABLE","","","","","","","","","","","","","","","","","","Volume Two","","Volume Two","","","","","","","","","","true","","Form of test"
"NCC V2","Volume Two","","2022","NCC2022-volume-two.docx","Volume Two","VOLUME_TWO::ROOT::SPECIFICATION::S3C4","","6","N/A","N/A","S3C4","SPECIFICATION","CONTEXT","Test specimens","Test specimens","Test specimens","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","SPECIFICATION","NORMATIVE","ALWAYS","N/A","Test specimens","Test specimens","NOT_APPLICABLE","","","","","","","","","","","","","","","","","","Volume Two","","Volume Two","","","","","","","","","","true","","Test specimens"
"NCC V2","Volume Two","","2022","NCC2022-volume-two.docx","Volume Two","VOLUME_TWO::ROOT::SPECIFICATION::S3C5","","7","N/A","N/A","S3C5","SPECIFICATION","CONTEXT","Concession","Concession","Concession","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","SPECIFICATION","NORMATIVE","ALWAYS","N/A","Concession","Concession","NOT_APPLICABLE","","","","","","","","","","","","","","","","","","Volume Two","","Volume Two","","","","","","","","","","true","","Concession"
"NCC V2","Volume Two","","2022","NCC2022-volume-two.docx","Volume Two","VOLUME_TWO::ROOT::SPECIFICATION::S3C6","","8","N/A","N/A","S3C6","SPECIFICATION","CONTEXT","Smaller specimen permitted","Introduction to this Part This Part explains important concepts on how the NCC must be interpreted and applied. There are certain conventions and approaches that need to be taken into account when using the NCC. This includes interpreting specific language and terms. This is critical to understanding the intended technical and legal meaning of the NCC. This Part also explains the difference between the mandatory Parts of the NCC and the Parts that are only explanatory or guidance in nature. Part A1	Interpreting the NCC Governing Requirements Section H	Class 1 and 10 buildings Part H1	Structure Objectives H1O1 Objective Functional Statements H1F1 Functional Statements Performance Requirements H1P1 Structural reliability and resistance H1P2 Buildings in flood areas Verification Methods H1V1 Structural reliability H1V2 Structural robustness Deemed-to-Satisfy Provisions H1D1 Deemed-to-Satisfy Provisions H1D2 Structural provisions H1D3 Site preparation H1D4 Footings and slabs H1D5 Masonry H1D6 Framing H1D7 Roof and wall cladding H1D8 Glazing H1D9 Earthquake areas H1D10 Flood hazard areas H1D11 Attachment of framed decks and balconies to external walls of buildings using a waling plate H1D12 Piled footings Part H2	Damp and weatherproofing Objectives H2O1 Objective Functional Statements H2F1 Surface water H2F2 Weatherproofing and dampness H2F3 Drainage from swimming pools Performance Requirements H2P1 Rainwater management H2P2 Weatherproofing H2P3 Rising damp H2P4 Drainage from swimming pools Verification Methods H2V1 Weatherproofing Deemed-to-Satisfy Provisions H2D1 Deemed-to-Satisfy Provisions H2D2 Drainage Part H3	H2D3 Footings and slabs H2D4 Masonry H2D5 Subfloor ventilation H2D6 Roof and wall cladding H2D7 Glazing H2D8 External waterproofing Fire safety Objectives H3O1 Objective Functional Statements H3F1 Protection from the spread of fire H3F2 Fire detection and early warning Performance Requirements H3P1 Spread of fire H3P2 Automatic warning for occupants Verification Methods H3V1 Avoidance of spread of fire between buildings on one allotment H3V2 Avoidance of spread of fire from allotment boundary H3V3 Avoidance of spread of fire between buildings on adjoining allot- ments H3V4 Avoidance of spread of fire between Class 2-9 buildings Deemed-to-Satisfy Provisions H3D1 Deemed-to-Satisfy Provisions H3D2 Fire hazard properties and non-combustible building elements H3D3 Fire separation of external walls H3D4 Fire protection of separating walls and floors H3D5 Fire separation of garage-top-dwellings H3D6 Smoke alarms and evacuation lighting Part H4	Health and amenity Objectives H4O1 Wet areas H4O2 Room heights H4O3 Facilities H4O4 Light H4O5 Ventilation H4O6 Sound insulation H4O7 Condensation and water vapour management Functional Statements H4F1 Wet areas H4F2 Room heights H4F3 Facilities H4F4 Light H4F5 Ventilation H4F6 Sound insulation H4F7 Condensation and water vapour management Part H5	H4P1 Wet areas H4P2 Room heights H4P3 Personal hygiene and other facilities H4P4 Lighting H4P5 Ventilation H4P6 Sound insulation H4P7 Condensation and water vapour management Verification Methods H4V1 Room or space height H4V2 Verification of suitable natural light H4V3 Verification of indoor air quality H4V4 Sound insulation H4V5 Verification of condensation management Deemed-to-Satisfy Provisions H4D1 Deemed-to-Satisfy Provisions H4D2 Wet areas H4D3 Materials and installation of wet area components and systems H4D4 Room heights H4D5 Facilities H4D6 Light H4D7 Ventilation H4D8 Sound insulation H4D9 Condensation management Safe movement and access Objectives H5O1 Objective Functional Statements H5F1 Safety from falling Performance Requirements H5P1 Movement to and within a building H5P2 Fall prevention barriers Verification Methods H5V1 Wire barriers Deemed-to-Satisfy Provisions H5D1 Deemed-to-Satisfy Provisions H5D2 Stairway and ramp construction H5D3 Barriers and handrails Part H6	Energy efficiency Objectives H6O1 Objective Functional Statements H6F1 Energy efficiency Performance Requirements H6P1 Thermal performance","Introduction to this Part This Part explains important concepts on how the NCC must be interpreted and applied. There are certain conventions and approaches that need to be taken into account when using the NCC. This includes interpreting specific language and terms. This is critical to understanding the intended technical and legal meaning of the NCC. This Part also explains the difference between the mandatory Parts of the NCC and the Parts that are only explanatory or guidance in nature. Part A1	Interpreting the NCC Governing Requirements Section H	Class 1 and 10 buildings Part H1	Structure Objectives H1O1 Objective Functional Statements H1F1 Functional Statements Performance Requirements H1P1 Structural reliability and resistance H1P2 Buildings in flood areas Verification Methods H1V1 Structural reliability H1V2 Structural robustness Deemed-to-Satisfy Provisions H1D1 Deemed-to-Satisfy Provisions H1D2 Structural provisions H1D3 Site preparation H1D4 Footings and slabs H1D5 Masonry H1D6 Framing H1D7 Roof and wall cladding H1D8 Glazing H1D9 Earthquake areas H1D10 Flood hazard areas H1D11 Attachment of framed decks and balconies to external walls of buildings using a waling plate H1D12 Piled footings Part H2	Damp and weatherproofing Objectives H2O1 Objective Functional Statements H2F1 Surface water H2F2 Weatherproofing and dampness H2F3 Drainage from swimming pools Performance Requirements H2P1 Rainwater management H2P2 Weatherproofing H2P3 Rising damp H2P4 Drainage from swimming pools Verification Methods H2V1 Weatherproofing Deemed-to-Satisfy Provisions H2D1 Deemed-to-Satisfy Provisions H2D2 Drainage Part H3	H2D3 Footings and slabs H2D4 Masonry H2D5 Subfloor ventilation H2D6 Roof and wall cladding H2D7 Glazing H2D8 External waterproofing Fire safety Objectives H3O1 Objective Functional Statements H3F1 Protection from the spread of fire H3F2 Fire detection and early warning Performance Requirements H3P1 Spread of fire H3P2 Automatic warning for occupants Verification Methods H3V1 Avoidance of spread of fire between buildings on one allotment H3V2 Avoidance of spread of fire from allotment boundary H3V3 Avoidance of spread of fire between buildings on adjoining allot- ments H3V4 Avoidance of spread of fire between Class 2-9 buildings Deemed-to-Satisfy Provisions H3D1 Deemed-to-Satisfy Provisions H3D2 Fire hazard properties and non-combustible building elements H3D3 Fire separation of external walls H3D4 Fire protection of separating walls and floors H3D5 Fire separation of garage-top-dwellings H3D6 Smoke alarms and evacuation lighting Part H4	Health and amenity Objectives H4O1 Wet areas H4O2 Room heights H4O3 Facilities H4O4 Light H4O5 Ventilation H4O6 Sound insulation H4O7 Condensation and water vapour management Functional Statements H4F1 Wet areas H4F2 Room heights H4F3 Facilities H4F4 Light H4F5 Ventilation H4F6 Sound insulation H4F7 Condensation and water vapour management Part H5	H4P1 Wet areas H4P2 Room heights H4P3 Personal hygiene and other facilities H4P4 Lighting H4P5 Ventilation H4P6 Sound insulation H4P7 Condensation and water vapour management Verification Methods H4V1 Room or space height H4V2 Verification of suitable natural light H4V3 Verification of indoor air quality H4V4 Sound insulation H4V5 Verification of condensation management Deemed-to-Satisfy Provisions H4D1 Deemed-to-Satisfy Provisions H4D2 Wet areas H4D3 Materials and installation of wet area components and systems H4D4 Room heights H4D5 Facilities H4D6 Light H4D7 Ventilation H4D8 Sound insulation H4D9 Condensation management Safe movement and access Objectives H5O1 Objective Functional Statements H5F1 Safety from falling Performance Requirements H5P1 Movement to and within a building H5P2 Fall prevention barriers Verification Methods H5V1 Wire barriers Deemed-to-Satisfy Provisions H5D1 Deemed-to-Satisfy Provisions H5D2 Stairway and ramp construction H5D3 Barriers and handrails Part H6	Energy efficiency Objectives H6O1 Objective Functional Statements H6F1 Energy efficiency Performance Requirements H6P1 Thermal performance","N/A","false","true","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","SPECIFICATION","NORMATIVE","ALWAYS","N/A","Smaller specimen permitted","Introduction to this Part This Part explains important concepts on how the NCC must be interpreted and applied. There are certain conventions and approaches that need to be taken into account when using the NCC. This includes interpreting specific language and terms. This is critical to understanding the intended technical and legal meaning of the NCC. This Part also explains the difference between the mandatory Parts of the NCC and the Parts that are only explanatory or guidance in nature. Part A1	Interpreting the NCC Governing Requirements Section H	Class 1 and 10 buildings Part H1	Structure Objectives H1O1 Objective Functional Statements H1F1 Functional Statements Performance Requirements H1P1 Structural reliability and resistance H1P2 Buildings in flood areas Verification Methods H1V1 Structural reliability H1V2 Structural robustness Deemed-to-Satisfy Provisions H1D1 Deemed-to-Satisfy Provisions H1D2 Structural provisions H1D3 Site preparation H1D4 Footings and slabs H1D5 Masonry H1D6 Framing H1D7 Roof and wall cladding H1D8 Glazing H1D9 Earthquake areas H1D10 Flood hazard areas H1D11 Attachment of framed decks and balconies to external walls of buildings using a waling plate H1D12 Piled footings Part H2	Damp and weatherproofing Objectives H2O1 Objective Functional Statements H2F1 Surface water H2F2 Weatherproofing and dampness H2F3 Drainage from swimming pools Performance Requirements H2P1 Rainwater management H2P2 Weatherproofing H2P3 Rising damp H2P4 Drainage from swimming pools Verification Methods H2V1 Weatherproofing Deemed-to-Satisfy Provisions H2D1 Deemed-to-Satisfy Provisions H2D2 Drainage Part H3	H2D3 Footings and slabs H2D4 Masonry H2D5 Subfloor ventilation H2D6 Roof and wall cladding H2D7 Glazing H2D8 External waterproofing Fire safety Objectives H3O1 Objective Functional Statements H3F1 Protection from the spread of fire H3F2 Fire detection and early warning Performance Requirements H3P1 Spread of fire H3P2 Automatic warning for occupants Verification Methods H3V1 Avoidance of spread of fire between buildings on one allotment H3V2 Avoidance of spread of fire from allotment boundary H3V3 Avoidance of spread of fire between buildings on adjoining allot- ments H3V4 Avoidance of spread of fire between Class 2-9 buildings Deemed-to-Satisfy Provisions H3D1 Deemed-to-Satisfy Provisions H3D2 Fire hazard properties and non-combustible building elements H3D3 Fire separation of external walls H3D4 Fire protection of separating walls and floors H3D5 Fire separation of garage-top-dwellings H3D6 Smoke alarms and evacuation lighting Part H4	Health and amenity Objectives H4O1 Wet areas H4O2 Room heights H4O3 Facilities H4O4 Light H4O5 Ventilation H4O6 Sound insulation H4O7 Condensation and water vapour management Functional Statements H4F1 Wet areas H4F2 Room heights H4F3 Facilities H4F4 Light H4F5 Ventilation H4F6 Sound insulation H4F7 Condensation and water vapour management Part H5	H4P1 Wet areas H4P2 Room heights H4P3 Personal hygiene and other facilities H4P4 Lighting H4P5 Ventilation H4P6 Sound insulation H4P7 Condensation and water vapour management Verification Methods H4V1 Room or space height H4V2 Verification of suitable natural light H4V3 Verification of indoor air quality H4V4 Sound insulation H4V5 Verification of condensation management Deemed-to-Satisfy Provisions H4D1 Deemed-to-Satisfy Provisions H4D2 Wet areas H4D3 Materials and installation of wet area components and systems H4D4 Room heights H4D5 Facilities H4D6 Light H4D7 Ventilation H4D8 Sound insulation H4D9 Condensation management Safe movement and access Objectives H5O1 Objective Functional Statements H5F1 Safety from falling Performance Requirements H5P1 Movement to and within a building H5P2 Fall prevention barriers Verification Methods H5V1 Wire barriers Deemed-to-Satisfy Provisions H5D1 Deemed-to-Satisfy Provisions H5D2 Stairway and ramp construction H5D3 Barriers and handrails Part H6	Energy efficiency Objectives H6O1 Objective Functional Statements H6F1 Energy efficiency Performance Requirements H6P1 Thermal performance","NOT_APPLICABLE","","","","","","","","","","","","","","","","Table S3C6_1","Table S3C6_1|Table S3C6_2|Table S3C6_3|Table S3C6_4|Table S3C6_5|Table S3C6_6","Volume Two","","Volume Two","","","","","","","","","","true","TABLE","Introduction to this Part This Part explains important concepts on how the NCC must be interpreted and applied. There are certain conventions and approaches that need to be taken into account when using the NCC. This includes interpreting specific language and terms. This is critical to understanding the intended technical and legal meaning of the NCC. This Part also explains the difference between the mandatory Parts of the NCC and the Parts that are only explanatory or guidance in nature. Part A1	Interpreting the NCC Governing Requirements Section H	Class 1 and 10 buildings Part H1	Structure Objectives H1O1 Objective Functional Statements H1F1 Functional Statements Performance Requirements H1P1 Structural reliability and resistance H1P2 Buildings in flood areas Verification Methods H1V1 Structural reliability H1V2 Structural robustness Deemed-to-Satisfy Provisions H1D1 Deemed-to-Satisfy Provisions H1D2 Structural provisions H1D3 Site preparation H1D4 Footings and slabs H1D5 Masonry H1D6 Framing H1D7 Roof and wall cladding H1D8 Glazing H1D9 Earthquake areas H1D10 Flood hazard areas H1D11 Attachment of framed decks and balconies to external walls of buildings using a waling plate H1D12 Piled footings Part H2	Damp and weatherproofing Objectives H2O1 Objective Functional Statements H2F1 Surface water H2F2 Weatherproofing and dampness H2F3 Drainage from swimming pools Performance Requirements H2P1 Rainwater management H2P2 Weatherproofing H2P3 Rising damp H2P4 Drainage from swimming pools Verification Methods H2V1 Weatherproofing Deemed-to-Satisfy Provisions H2D1 Deemed-to-Satisfy Provisions H2D2 Drainage Part H3	H2D3 Footings and slabs H2D4 Masonry H2D5 Subfloor ventilation H2D6 Roof and wall cladding H2D7 Glazing H2D8 External waterproofing Fire safety Objectives H3O1 Objective Functional Statements H3F1 Protection from the spread of fire H3F2 Fire detection and early warning Performance Requirements H3P1 Spread of fire H3P2 Automatic warning for occupants Verification Methods H3V1 Avoidance of spread of fire between buildings on one allotment H3V2 Avoidance of spread of fire from allotment boundary H3V3 Avoidance of spread of fire between buildings on adjoining allot- ments H3V4 Avoidance of spread of fire between Class 2-9 buildings Deemed-to-Satisfy Provisions H3D1 Deemed-to-Satisfy Provisions H3D2 Fire hazard properties and non-combustible building elements H3D3 Fire separation of external walls H3D4 Fire protection of separating walls and floors H3D5 Fire separation of garage-top-dwellings H3D6 Smoke alarms and evacuation lighting Part H4	Health and amenity Objectives H4O1 Wet areas H4O2 Room heights H4O3 Facilities H4O4 Light H4O5 Ventilation H4O6 Sound insulation H4O7 Condensation and water vapour management Functional Statements H4F1 Wet areas H4F2 Room heights H4F3 Facilities H4F4 Light H4F5 Ventilation H4F6 Sound insulation H4F7 Condensation and water vapour management Part H5	H4P1 Wet areas H4P2 Room heights H4P3 Personal hygiene and other facilities H4P4 Lighting H4P5 Ventilation H4P6 Sound insulation H4P7 Condensation and water vapour management Verification Methods H4V1 Room or space height H4V2 Verification of suitable natural light H4V3 Verification of indoor air quality H4V4 Sound insulation H4V5 Verification of condensation management Deemed-to-Satisfy Provisions H4D1 Deemed-to-Satisfy Provisions H4D2 Wet areas H4D3 Materials and installation of wet area components and systems H4D4 Room heights H4D5 Facilities H4D6 Light H4D7 Ventilation H4D8 Sound insulation H4D9 Condensation management Safe movement and access Objectives H5O1 Objective Functional Statements H5F1 Safety from falling Performance Requirements H5P1 Movement to and within a building H5P2 Fall prevention barriers Verification Methods H5V1 Wire barriers Deemed-to-Satisfy Provisions H5D1 Deemed-to-Satisfy Provisions H5D2 Stairway and ramp construction H5D3 Barriers and handrails Part H6	Energy efficiency Objectives H6O1 Objective Functional Statements H6F1 Energy efficiency Performance Requirements H6P1 Thermal performance"
"NCC V2","Volume Two","","2022","NCC2022-volume-two.docx","Volume Two","VOLUME_TWO::ROOT::GOVERNING_REQUIREMENT::A1G1","","9","N/A","N/A","A1G1","GOVERNING_REQUIREMENT","MANDATORY","Scope of NCC Volume One","[New for 2022] NCC Volume One contains the requirements for— (a) all Class 2 to 9 buildings; and (b) access requirements for people with a disability in Class 1b and 10a buildings; and (c) certain Class 10b structures including access requirements for people with a disability in Class 10b swimming pools.","[New for 2022] NCC Volume One contains the requirements for— (a) all Class 2 to 9 buildings; and (b) access requirements for people with a disability in Class 1b and 10a buildings; and (c) certain Class 10b structures including access requirements for people with a disability in Class 10b swimming pools.","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","Scope of NCC Volume One","[New for 2022] NCC Volume One contains the requirements for— (a) all Class 2 to 9 buildings; and (b) access requirements for people with a disability in Class 1b and 10a buildings; and (c) certain Class 10b structures including access requirements for people with a disability in Class 10b swimming pools.","NOT_APPLICABLE","","","","","","","","","","","all Class 2 to 9 buildings; and|access requirements for people with a disability in Class 1b and 10a buildings; and|certain Class 10b structures including access requirements for people with a disability in Class 10b swimming pools.","","","","","","","Volume Two","1b|2|10b","Volume Two","","","","","","","","","","true","SCOPE|SCOPE","[New for 2022] NCC Volume One contains the requirements for— (a) all Class 2 to 9 buildings; and (b) access requirements for people with a disability in Class 1b and 10a buildings; and (c) certain Class 10b structures including access requirements for people with a disability in Class 10b swimming pools."
"NCC V2","Volume Two","","2022","NCC2022-volume-two.docx","Volume Two","VOLUME_TWO::ROOT::GOVERNING_REQUIREMENT::A1G2","","10","N/A","N/A","A1G2","GOVERNING_REQUIREMENT","MANDATORY","Scope of NCC Volume Two","[New for 2022] NCC Volume Two contains the requirements for— (a) Class 1 and 10a buildings (other than access requirements for people with a disability in Class 1b and 10a buildings); and (b) certain Class 10b structures (other than access requirements for people with a disability in Class 10b swimming pools); and (c) Class 10c private bushfire shelters.","[New for 2022] NCC Volume Two contains the requirements for— (a) Class 1 and 10a buildings (other than access requirements for people with a disability in Class 1b and 10a buildings); and (b) certain Class 10b structures (other than access requirements for people with a disability in Class 10b swimming pools); and (c) Class 10c private bushfire shelters.","N/A","false","false","[]","[]","N/A","N/A","NONE","","","","","","","","N/A","PERFORMANCE","INFORMATIVE","ALWAYS","N/A","Scope of NCC Volume Two","[New for 2022] NCC Volume Two contains the requirements for— (a) Class 1 and 10a buildings (other than access requirements for people with a disability in Class 1b and 10a buildings); and (b) certain Class 10b structures (other than access requirements for people with a disability in Class 10b swimming pools); and (c) Class 10c private bushfire shelters.","NOT_APPLICABLE","","","","","","","","","","","Class 1 and 10a buildings (other than access requirements for people with a disability in Class 1b and 10a buildings); and|certain Class 10b structures (other than access requirements for people with a disability in Class 10b swimming pools); and|Class 10c private bushfire shelters.","","","bushfire","","","","Volume Two","1|1b|10|10a|10b|10c","Volume Two","","","","","","","","","","true","SCOPE|SCOPE","[New for 2022] NCC Volume Two contains the requirements for— (a) Class 1 and 10a buildings (other than access requirements for people with a disability in Class 1b and 10a buildings); and (b) certain Class 10b structures (other than access requirements for people with a disability in Class 10b swimming pools); and (c) Class 10c private bushfire shelters."
