"volume","part_code","section_code","table_id","unit_type","table_title","table_content","content_part","content_parts_total","called_in","clause_reference","source","context","clause_count","first_clause_id","last_clause_id","archived","state_territory","source_file","ncc_version"
"Vol2","H7","H","Table H7V2","table","Table H7V2","For the building, where 1; and No requirement apply, No requirement must be provided or applied in accordance with Specification H7V2. For the building, where 2; and 1: 500 apply, 1: 50 must be provided or applied in accordance with Specification H7V2. For Class 1 a, where 3; and N/A for Class 1 and 10 buildings apply, the relevant requirement must be met in accordance with Specification H7V2. For the building, where 4; and 1: 2000 apply, 1: 200 must be provided or applied in accordance with Specification H7V2.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H7","H","Table 1","table","Table 1","For the building element, where AS 1657; and 2018; and Fixed platforms, walkways, stairways and ladders - Design, construction and installation; and TAS I10D3 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS/NZS 1668 Part 1; and 2015; and The use of ventilation and air-conditioning in buildings: Fire and smoke control in multi- compartment buildings; and TAS I4D7 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 1668 Part 2; and 2012; and The use of ventilation and air-conditioning in buildings: Mechanical ventilation in buildings; and TAS I4D7, TAS I16D5 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS/NZS 1680 Part 1; and 2006; and Interior lighting: General principles and recommendations; and TAS I4D8, TAS I7D2, TAS I7D3, TAS I16D4 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS/NZS1680 Part 2. 1; and 2008; and Interior lighting: Circulation spaces and other general areas; and TAS I7D2, TAS I7D3, TAS I16D4 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS/NZS1680 Part 2. 2; and 2008; and Interior lighting: Office and screen based tasks; and TAS I7D2, TAS I7D3, TAS I16D4 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS/NZS1680 Part 2. 3; and 2008; and Interior lighting: Education and training facilities; and TAS I7D2, TAS I7D3, TAS I16D4 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS/NZS1680 Part 2. 4; and 2017; and Interior lighting: Industrial tasks and processes; and TAS I4D8, TAS I7D2, TAS I7D3 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS/NZS1680 Part 2. 5; and 2018; and Interior lighting: Hospitals and medical tasks; and TAS I7D2, TAS I7D3 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 2658; and 2008; and LP Gas - Portable and mobile appliances; and TAS I16D7 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 2746; and 2008; and Working areas for gas fuelled vehicles; and TAS I17D2 apply, the relevant requirement must be met in accordance with Specification H7D2.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H7","H","Table H7D2_8","table","Table H7D2_8","For the building, where AS/NZS 3000; and 2018; and Electrical installations (known as the Australian/New Zealand Wiring Rules); and TAS I16D6 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 4464; and 2007; and Hygienic production of game meat for human consumption; and TAS I6D2 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 4465; and 2006; and Construction of premises and hygienic production of poultry meat for human consumption; and TAS I6D2 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 4466; and 1998; and Hygienic production of rabbit meat for human consumption; and TAS I6D2 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 4674; and 2004; and Design, construction and fit-out of food premises (Clauses 4. 2 and 4. 3); and TAS I4D9, TAS I4D13 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 4696; and 2007; and Hygienic production and transportation of meat and meat products for human consumption; and TAS I6D2 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 5008; and 2007; and Hygienic rendering of animal products; and TAS I6D2 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 5010; and 2001; and Hygienic production of ratite (emu/ostrich) meat for human consumption; and TAS I6D2 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where AS 5011; and 2001; and Hygienic production of natural casings for human consumption; and TAS I6D2 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where ABCB; and Temporary Structures Standard; and TAS I16D2 apply, the relevant requirement must be met in accordance with Specification H7D2.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H7","H","Table H7D2_9","table","Table H7D2_9","For the building, where Australasian Health Facility Guidelines; and TAS I9D2 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where BCA 2019 Amendment 1; and 2019; and Building Code of Australia; and TAS Section J; and TAS Part H6 apply, TAS Section 13 must be provided or applied in accordance with Specification H7D2. For Class 4, where Centre Based Care Class 4 Standards; and Tasmanian Licencing Standards for Centre Based Child Care Class 4; and TAS Schedule 1; and TAS Schedule 1 apply, TAS Schedule 1 must be provided or applied in accordance with Specification H7D2. For Class 5, where Centre Based Care Class 5 Standards; and Tasmanian Licencing Standards for Centre Based Child Care Class 5 (0-12 years); and TAS Schedule 1; and TAS Schedule 1 apply, TAS Schedule 1 must be provided or applied in accordance with Specification H7D2. For the building, where Child Care Act; and 2001; and TAS I16P1, TAS I16P2, TAS I16P3, TAS I16D1, TAS Schedule 1; and TAS Schedule 1 apply, TAS Schedule 1 must be provided or applied in accordance with Specification H7D2. For the building, where Condensation in Buildings Tasmanian Designers Guide; and TAS F8P1; and TAS H4D9 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where Dairy Industry Act; and 1994; and TAS I4P1, TAS I4D1, TAS I7D1 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where Disability (Access to Premises - Buildings) Standards; and 2010; and TAS D4D14 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where Disability Discrimination Act (Cth); and 1992; and TAS D1P10 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where Early Childhood Centre and School Age Care Facilities Code; and TAS I5D2 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where Education and Care Services National Law (Application) Act; and 2011; and TAS I16P1, TAS I16P2, TAS I16P3, TAS I16D1, TAS Schedule 1; and TAS Schedule 1 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where Export Control (Milk and Diary) Orders; and TAS I4D17 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where Health Service Establishments Act; and 2006; and TAS I9D1 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where Hygienic Production of Pet Meat; and Technical Report 88; and TAS I6D2 apply, the relevant requirement must be met in accordance with Specification H7D2.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H7","H","Table H7D2_10","table","Table H7D2_10","For the building, where Liquor Licensing Act; and 1990; and TAS I4P1, TAS I4D1, TAS I5D1 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where Primary Produce Safety Act; and 2011; and TAS I4P1, TAS I4D1, TAS I4D16 apply, the relevant requirement must be met in accordance with Specification H7D2. For the building, where Water and Sewerage Industry Act; and 2008; and TAS I4D3 apply, the relevant requirement must be met in accordance with Specification H7D2.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H7","H","Table H7D2_12","table","Table H7D2_12","For Class 1 a, where Section H applies, Class 1 and 10 buildings Part H1 VIC H1D10 Part H2H2D6 Part H6 VIC H6V1 VIC H6D2 must be provided or applied in accordance with Specification H7D2. For the building, where Schedule 1 Schedule 2 applies, Definitions Referenced documents must be provided or applied in accordance with Specification H7D2.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H7","H","Table H7D4_5","table","Table H7D4_5","For Class 6 b, where Section H applies, Part A6 Building classification SA A6G7 Class 6 buildings Class 1 and 10 buildings Part H1 SA H1P2 Part H2 SA H2P3H2D4 Part H3H3P1 Part H4H4P1 Part H5 SA H5O2 SA H5F2 SA H5P3H5D1 SA H5D4 Part H7H7P1H7D2H7D4 must be provided or applied in accordance with Specification H7D4. For the building, where SA Part H9 applies, Water efficiency Objectives SA H9O1 Objective Functional Statements SA H9F1 Water efficiency Performance Requirements SA H9P1 Water efficiency Deemed-to-Satisfy Provisions SA H9D1 Deemed-to-Satisfy Provisions SA H9D2 Application of Part SA H9D3 Rainwater tank capacity SA H9D4 Rainwater tank overflow SA H9D5 Rainwater tank water quality SA H9D6 Rainwater tank stands must be provided or applied in accordance with Specification H7D4. For the building, where SA Part H10 applies, Access for people with a disability Objectives SA H10O1 Objective Functional Statements SA H10F1 Equitable and dignified access must be provided or applied in accordance with Specification H7D4.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H8","H","Table S44C2","table","Table S44C2","For the building, where 50 m2 applies, 1. 37 must be provided or applied in accordance with Specification S44C2. For the building, where > 50 m2 to 350 m2 applies, (5. 11 x 10 6)A H2 (3. 82  x 103)A H + 1. 55 must be provided or applied in accordance with Specification S44C2. For the building, where > 350 m2 applies, 0. 84 must be provided or applied in accordance with Specification S44C2.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H8","H","Table S44C3","table","Table S44C3","For the building, where 50 m2 applies, 1. 34 must be provided or applied in accordance with Specification S44C3. For the building, where > 50 m2 and 200 m2 apply, (1. 29 x 105)A H2 (5. 55 x 103)A H + 1. 58 must be provided or applied in accordance with Specification S44C3.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H8","H","Table S44C3_2","table","Table S44C3_2","For the building, where > 200 m2 and 1000 m2 apply, (3. 76 x 107)A H2 (7. 82 x 104)A H + 1. 12 must be provided or applied in accordance with Specification S44C3. For the building, where > 1000 m2 applies, 0. 71 must be provided or applied in accordance with Specification S44C3.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H8","H","Table S44C4_4","table","Table S44C4_4","For the building, where ABCB applies, Australian Building Codes Board must be provided or applied in accordance with Specification S44C4. For the building, where AC applies, Alternating Current must be provided or applied in accordance with Specification S44C4. For the building, where ACC applies, Acrylic conformal coating must be provided or applied in accordance with Specification S44C4. For the building, where ACL applies, Acrylic latex must be provided or applied in accordance with Specification S44C4. For the building, where ACP applies, Aluminium Composite Panel must be provided or applied in accordance with Specification S44C4. For the building, where AIRAH applies, Australian Institute of Refrigeration, Air conditioning and Heating must be provided or applied in accordance with Specification S44C4. For the building, where ANSI applies, American National Standards Institute must be provided or applied in accordance with Specification S44C4. For the building, where AS applies, Australian Standard must be provided or applied in accordance with Specification S44C4. For the building, where ASET applies, Available Safe Egress Time must be provided or applied in accordance with Specification S44C4. For the building, where ASHRAE applies, American Society of Heating, Refrigerating and Air Conditioning Engineers must be provided or applied in accordance with Specification S44C4. For the building, where ASTM applies, American Society for Testing and Materials must be provided or applied in accordance with Specification S44C4. For the building, where BAL applies, Bushfire Attack Level must be provided or applied in accordance with Specification S44C4. For the building, where BCA applies, Building Code of Australia must be provided or applied in accordance with Specification S44C4. For the building, where BE applies, Fire blocks evacuation route must be provided or applied in accordance with Specification S44C4. For the building, where CAN applies, National Standard of Canada must be provided or applied in accordance with Specification S44C4. For the building, where CCT applies, Correlated Colour Temperature must be provided or applied in accordance with Specification S44C4. For the building, where CF applies, Challenging fire must be provided or applied in accordance with Specification S44C4. For the building, where CHF applies, Critical Heat Flux must be provided or applied in accordance with Specification S44C4. For the building, where CIBSE applies, Chartered Institution of Building Services Engineers must be provided or applied in accordance with Specification S44C4. For the building, where CRF applies, Critical Radiant Flux must be provided or applied in accordance with Specification S44C4. For the building, where CRI applies, Colour Rendering Index must be provided or applied in accordance with Specification S44C4. For the building, where CS applies, Fire starts in a concealed space must be provided or applied in accordance with Specification S44C4. For the building, where CSHGC applies, Constant for solar heat gain must be provided or applied in accordance with Specification S44C4. For the building, where CSIRO applies, Commonwealth Scientific and Industrial Research Organisation must be provided or applied in accordance with Specification S44C4. For the building, where CU applies, Constant for conductance must be provided or applied in accordance with Specification S44C4. For the building, where DC applies, Direct Current must be provided or applied in accordance with Specification S44C4. For the building, where FED applies, Fractional Effective Dose must be provided or applied in accordance with Specification S44C4. For the building, where FI applies, Fire brigade intervention must be provided or applied in accordance with Specification S44C4. For the building, where FRL applies, Fire Resistance Level must be provided or applied in accordance with Specification S44C4. For the building, where FZ applies, Flame Zone must be provided or applied in accordance with Specification S44C4. For the building, where GEMS applies, Greenhouse and Energy Minimum Standards must be provided or applied in accordance with Specification S44C4. For the building, where GRP applies, Glass fibre reinforced polyester must be provided or applied in accordance with Specification S44C4. For the building, where HDG applies, Hot dip galvanising must be provided or applied in accordance with Specification S44C4. For the building, where HRR applies, Heat Release Rate must be provided or applied in accordance with Specification S44C4. For the building, where HS applies, Horizontal fire spread must be provided or applied in accordance with Specification S44C4. For the building, where IS applies, Rapid fire spread involving internal surface linings must be provided or applied in accordance with Specification S44C4. For the building, where ISO applies, International Organisation for Standardisation must be provided or applied in accordance with Specification S44C4. For the building, where IZS applies, Inorganic zinc silicate must be provided or applied in accordance with Specification S44C4. For the building, where LED applies, Light-Emitting Diode must be provided or applied in accordance with Specification S44C4. For the building, where MEPS applies, Minimum Energy Performance Standards must be provided or applied in accordance with Specification S44C4.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
"Vol2","H8","H","Table S44C4_5","table","Table S44C4_5","For the building, where NABERS applies, National Australian Built Environment Rating System must be provided or applied in accordance with Specification S44C4. For the building, where NASH applies, National Association of Steel-Framed Housing must be provided or applied in accordance with Specification S44C4. For the building, where NATA applies, National Association of Testing Authorities Australia must be provided or applied in accordance with Specification S44C4. For the building, where NatHERS applies, Nationwide House Energy Rating Scheme must be provided or applied in accordance with Specification S44C4. For the building, where NCC applies, National Construction Code must be provided or applied in accordance with Specification S44C4. For the building, where NSF applies, National Sanitation Foundation must be provided or applied in accordance with Specification S44C4. For the building, where PBDB applies, Performance-based design brief must be provided or applied in accordance with Specification S44C4. For the building, where PCA applies, Plumbing Code of Australia must be provided or applied in accordance with Specification S44C4. For the building, where PMV applies, Predicted Mean Vote must be provided or applied in accordance with Specification S44C4. For the building, where ppm applies, parts per million must be provided or applied in accordance with Specification S44C4. For the building, where PUR applies, Polyurethane must be provided or applied in accordance with Specification S44C4. For the building, where PVC applies, Polyvinyl chloride must be provided or applied in accordance with Specification S44C4. For the building, where RC applies, Robustness check must be provided or applied in accordance with Specification S44C4. For the building, where RSET applies, Required Safe Egress Time must be provided or applied in accordance with Specification S44C4. For the building, where RW applies, Weighted sound reduction index must be provided or applied in accordance with Specification S44C4. For the building, where SF applies, Smouldering fire must be provided or applied in accordance with Specification S44C4. For the building, where SHGC applies, Solar Heat Gain Coefficient must be provided or applied in accordance with Specification S44C4. For the building, where SL applies, Square mesh must be provided or applied in accordance with Specification S44C4. For the building, where SS applies, Structural stability and other property must be provided or applied in accordance with Specification S44C4. For the building, where STC applies, Sound Transmission Class must be provided or applied in accordance with Specification S44C4. For the building, where TM applies, Trench mesh must be provided or applied in accordance with Specification S44C4. For the building, where UF applies, Unexpected catastrophic failure must be provided or applied in accordance with Specification S44C4. For the building, where UPVC applies, Unplasticized polyvinyl chloride must be provided or applied in accordance with Specification S44C4. For the building, where UT applies, Fire in normally unoccupied room threatening occupants of other rooms must be provided or applied in accordance with Specification S44C4. For the building, where U-Value applies, Thermal transmittance must be provided or applied in accordance with Specification S44C4. For the building, where VS applies, Vertical fire spread involving external cladding or external openings must be provided or applied in accordance with Specification S44C4. For the building, where WC applies, Water closet must be provided or applied in accordance with Specification S44C4.",1,1,"","","NCC 2022 Vol2","",0,"","","false","","NCC2022_Volume2_Tables_ClauseStyle.txt","2022"
